scope,subset,config,family,k,stat,n,mae,bias,rel_mae_vs_no_adjustment,coef,gamma
player,season_2024-25,P2s_comb_k160,P2s_comb,160,TOV,4774.0,1.0822961544553311,-0.1197668473134487,0.9993249935582781,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,FG3A,4774.0,1.8323122398550278,-0.22830822512802224,0.9981810723274731,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,OREB,4774.0,0.9048292330577266,-0.13983134346165416,0.9971878481484241,,
player,season_2024-25,P2s_comb_k160,P2s_comb,160,POOLED,4774.0,,,0.9908302184020439,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,PTS,4774.0,5.636943469608068,-0.6199799610068302,0.9893819085421652,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,AST,4774.0,1.689883884188362,-0.19799164881585488,0.9980678615690932,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,REB,4774.0,2.0564027764157724,-0.1792369841118322,1.0000000000000022,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,STL,4774.0,0.825480258400606,-0.12945146178412426,0.9964152151843012,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,BLK,4774.0,0.5397791069700906,-0.20299302954794243,0.9415074790438246,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,FG3M,4774.0,1.1251694626496254,-0.15906754372900136,0.9992259525497179,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,TOV,4774.0,1.0821663292359223,-0.127857752084739,0.999205121020604,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,FG3A,4774.0,1.8315972828259695,-0.20681543164347974,0.9977915881782049,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,OREB,4774.0,0.9050224300934001,-0.14843877982284565,0.9974007653810172,,
player,season_2024-25,P2s_comb_kinf,P2s_comb,inf,POOLED,4774.0,,,0.990999543496548,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,PTS,4774.0,5.633541618478123,-0.6803030342824461,0.9887848243277026,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,AST,4774.0,1.685979893955404,-0.18013277580382098,0.9957621130973475,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,REB,4774.0,2.0500554297950497,-0.15455717000719385,0.9969133738324447,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,STL,4774.0,0.8247109249675164,-0.136651884415624,0.9954865733052505,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,BLK,4774.0,0.5447020866966957,-0.1601722448473038,0.9500943661091602,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,FG3M,4774.0,1.1254566839988804,-0.1543596549234034,0.9994810243729668,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,TOV,4774.0,1.0826477666130874,-0.12858381138334452,0.999649650368559,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,FG3A,4774.0,1.8320149486757684,-0.20911419143340687,0.998019118255644,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,OREB,4774.0,0.9049245810490435,-0.14080902830424594,0.9972929285932339,,
player,season_2024-25,P2s_comb_kpick,P2s_comb,pick,POOLED,4774.0,,,0.9912759969180343,,
player,season_2024-25,P3_comb_k0,P3_comb,0,PTS,4774.0,5.828900066074893,-0.1564384534806861,1.0230736396715552,,
player,season_2024-25,P3_comb_k0,P3_comb,0,AST,4774.0,1.7416999423222932,-0.11882900604583412,1.028671113556144,,
player,season_2024-25,P3_comb_k0,P3_comb,0,REB,4774.0,2.1203107320822645,-0.021674028575116456,1.0310775478420067,,
player,season_2024-25,P3_comb_k0,P3_comb,0,STL,4774.0,0.8552318967811366,-0.09755458753924123,1.032327624787482,,
player,season_2024-25,P3_comb_k0,P3_comb,0,BLK,4774.0,0.578560832985698,-0.03690712081459764,1.0091523445497919,,
player,season_2024-25,P3_comb_k0,P3_comb,0,FG3M,4774.0,1.1711186267007738,-0.043941580169285815,1.0400318922254639,,
player,season_2024-25,P3_comb_k0,P3_comb,0,TOV,4774.0,1.119548789792207,-0.05547095256947896,1.0337217614067116,,
player,season_2024-25,P3_comb_k0,P3_comb,0,FG3A,4774.0,1.912831258318328,0.044366499567005765,1.0420450811160689,,
player,season_2024-25,P3_comb_k0,P3_comb,0,OREB,4774.0,0.9369246767630331,-0.03286793443949594,1.0325593693974748,,
player,season_2024-25,P3_comb_k0,P3_comb,0,POOLED,4774.0,,,1.030295597172522,,
player,season_2024-25,P3_comb_k10,P3_comb,10,PTS,4774.0,5.65414936677604,-0.6085635313387338,0.9924018436311031,,
player,season_2024-25,P3_comb_k10,P3_comb,10,AST,4774.0,1.6931857353963733,-0.21112902188722393,1.000017978737044,,
player,season_2024-25,P3_comb_k10,P3_comb,10,REB,4774.0,2.049115717191828,-0.16824462880269078,0.9964564046948814,,
player,season_2024-25,P3_comb_k10,P3_comb,10,STL,4774.0,0.825503726392578,-0.12926603455547625,0.996443542771827,,
player,season_2024-25,P3_comb_k10,P3_comb,10,BLK,4774.0,0.5575465352153617,-0.11635248797031232,0.9724982424140418,,
player,season_2024-25,P3_comb_k10,P3_comb,10,FG3M,4774.0,1.133820310920087,-0.14680887526422054,1.006908486061656,,
player,season_2024-25,P3_comb_k10,P3_comb,10,TOV,4774.0,1.0899004957630831,-0.12607854004377622,1.0063463696364445,,
player,season_2024-25,P3_comb_k10,P3_comb,10,FG3A,4774.0,1.8462283593148887,-0.15071656619660914,1.0057620984991806,,
player,season_2024-25,P3_comb_k10,P3_comb,10,OREB,4774.0,0.9102189270569745,-0.1226455303916111,1.0031276842688002,,
player,season_2024-25,P3_comb_k10,P3_comb,10,POOLED,4774.0,,,0.99777362785722,,
player,season_2024-25,P3_comb_k20,P3_comb,20,PTS,4774.0,5.639397011657355,-0.6574313461906004,0.9898125479708734,,
player,season_2024-25,P3_comb_k20,P3_comb,20,AST,4774.0,1.6880482887211017,-0.20121073418893043,0.9969837345116922,,
player,season_2024-25,P3_comb_k20,P3_comb,20,REB,4774.0,2.0450167318659593,-0.16223457719300124,0.9944631252785731,,
player,season_2024-25,P3_comb_k20,P3_comb,20,STL,4774.0,0.8212840402405333,-0.13229678756046437,0.991350072101376,,
player,season_2024-25,P3_comb_k20,P3_comb,20,BLK,4774.0,0.5587085999965076,-0.10241737239273348,0.9745251691113785,,
player,season_2024-25,P3_comb_k20,P3_comb,20,FG3M,4774.0,1.1292017160620262,-0.15761796501848668,1.0028068640396548,,
player,season_2024-25,P3_comb_k20,P3_comb,20,TOV,4774.0,1.085536027341868,-0.13433506539351056,1.0023164907913966,,
player,season_2024-25,P3_comb_k20,P3_comb,20,FG3A,4774.0,1.8371944796291757,-0.19015042796651316,1.0008407496614544,,
player,season_2024-25,P3_comb_k20,P3_comb,20,OREB,4774.0,0.9073330369506909,-0.12177933917415809,0.9999472227629835,,
player,season_2024-25,P3_comb_k20,P3_comb,20,POOLED,4774.0,,,0.9947828862477093,,
player,season_2024-25,P3_comb_k40,P3_comb,40,PTS,4774.0,5.636134407545293,-0.6660909943986655,0.9892399040370441,,
player,season_2024-25,P3_comb_k40,P3_comb,40,AST,4774.0,1.686137764733144,-0.20022982299201622,0.9958553536750093,,
player,season_2024-25,P3_comb_k40,P3_comb,40,REB,4774.0,2.0468258188094928,-0.166217526588145,0.9953428590370961,,
player,season_2024-25,P3_comb_k40,P3_comb,40,STL,4774.0,0.8202830347420689,-0.1219320018465616,0.9901417850478665,,
player,season_2024-25,P3_comb_k40,P3_comb,40,BLK,4774.0,0.5575056935807964,-0.10641285756287287,0.9724270045615516,,
player,season_2024-25,P3_comb_k40,P3_comb,40,FG3M,4774.0,1.1265105314173944,-0.15831628146265941,1.000416911566463,,
player,season_2024-25,P3_comb_k40,P3_comb,40,TOV,4774.0,1.0831076651659033,-0.13239269946913412,1.0000742921049621,,
player,season_2024-25,P3_comb_k40,P3_comb,40,FG3A,4774.0,1.833230621835013,-0.1825469330600981,0.9986813754361072,,
player,season_2024-25,P3_comb_k40,P3_comb,40,OREB,4774.0,0.9059670871451961,-0.11516766152919714,0.9984418463920002,,
player,season_2024-25,P3_comb_k40,P3_comb,40,POOLED,4774.0,,,0.9934023702064555,,
