subset,config,min_sample,k,cap,n_cases,n_moved,stat,mae,bias,rel_mae_vs_no_adjustment
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,TOV,1.0777913285622711,-0.02238390342990854,1.001122362032625
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,FG3A,1.7957182698767056,-0.1486005008816267,1.0002431517152086
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,OREB,0.9139735889048491,-0.01743603882058331,1.003975353197093
all_treated,m3_k20_cap0.85-1.20,3.0,20.0,0.85-1.20,14709,12180,POOLED,,,1.000743859335135
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,PTS,5.559262808606395,-0.7453372079964902,0.994532292692163
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,AST,1.671882508494133,-0.21850116356424917,0.9963928090120104
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,REB,2.0659907202386165,-0.146540078332017,0.9976925372724891
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,STL,0.8178156871860182,-0.019124326410976382,1.0013708358073399
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,BLK,0.5927463306915949,-0.007933588166966151,1.0021274753672977
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,FG3M,1.1123268224834857,-0.07366132455174006,1.002300815938355
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,TOV,1.0762001443082483,-0.0329005817264502,0.9996443670844366
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,FG3A,1.7931540140759563,-0.18934041361471626,0.998814821142996
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,OREB,0.91196684689301,-0.023557890222072952,1.001771001184552
all_treated,m3_k40_capnone,3.0,40.0,none,14709,12180,POOLED,,,0.99940521727796
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,PTS,5.559262808606395,-0.7453372079964902,0.994532292692163
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,AST,1.671882508494133,-0.21850116356424917,0.9963928090120104
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,REB,2.0659907202386165,-0.146540078332017,0.9976925372724891
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,STL,0.817815070505816,-0.019123709730774218,1.0013700807159676
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,BLK,0.5927371429977001,-0.007949110371762361,1.0021119421787978
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,FG3M,1.1123276003212035,-0.07366173225788297,1.0023015168361158
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,TOV,1.0762001443082483,-0.0329005817264502,0.9996443670844366
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,FG3A,1.7931487353479465,-0.18934324779107356,0.9988118808089637
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,OREB,0.9119694377353624,-0.023554830446599416,1.0017738471550455
all_treated,m3_k40_cap0.75-1.35,3.0,40.0,0.75-1.35,14709,12180,POOLED,,,0.9994034748617766
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,PTS,5.559262660649076,-0.7453370600391719,0.9945322662231264
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,AST,1.6718588285919274,-0.21846918176364455,0.996378696486665
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,REB,2.0659907202386165,-0.146540078332017,0.9976925372724891
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,STL,0.8178070170503388,-0.019119690021341174,1.0013602196976858
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,BLK,0.5927527594973311,-0.007930426775010576,1.0021383442373832
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,FG3M,1.112313751604777,-0.07368108891026545,1.002289037967951
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,TOV,1.076190696160341,-0.032979463566965225,0.9996355910329884
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,FG3A,1.7931372499437657,-0.18937189064144744,0.9988054832592648
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,OREB,0.9119448139584898,-0.02360667413391365,1.0017467985998325
all_treated,m3_k40_cap0.85-1.20,3.0,40.0,0.85-1.20,14709,12180,POOLED,,,0.9993976638641542
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,PTS,5.568869510648589,-0.8455881654006657,0.996250897430986
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,AST,1.6735904330485138,-0.24015146537349555,0.997410681820461
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,REB,2.0670893923424702,-0.16664319836309582,0.9982230996550722
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,STL,0.8169439389995281,-0.021403085239315833,1.0003034275590061
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,BLK,0.5921049854877661,-0.009209667512932377,1.001043184133977
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,FG3M,1.110625604577409,-0.08376011039931304,1.0007678743056587
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,TOV,1.0757723600233646,-0.04166176992669771,0.9992470133459402
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,FG3A,1.7931762855851539,-0.21857980871348062,0.9988272267218259
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,OREB,0.9109039090916472,-0.02854139379132899,1.0006033926589835
all_treated,m3_k80_capnone,3.0,80.0,none,14709,12180,POOLED,,,0.99918631084799
all_treated,m3_k80_cap0.75-1.35,3.0,80.0,0.75-1.35,14709,12180,PTS,5.568869510648589,-0.8455881654006657,0.996250897430986
all_treated,m3_k80_cap0.75-1.35,3.0,80.0,0.75-1.35,14709,12180,AST,1.6735904330485138,-0.24015146537349555,0.997410681820461
